,PM10_1
1219,139.0
1220,146.0
1221,167.0
1222,163.0
1223,163.0
1224,146.0
1225,140.0
1226,129.0
1227,130.0
1228,123.0
1229,135.0
1230,134.0
1231,137.0
1232,125.0
1233,129.0
1234,125.0
1235,134.0
1236,131.0
1237,131.0
1238,111.0
1239,108.0
1240,108.0
1241,110.0
1242,109.0
1243,111.0
1244,111.0
1245,109.0
1246,109.0
1247,104.0
1248,35.0
1249,11.0
1250,23.0
1251,29.0
1252,33.0
1253,50.0
1254,71.0
1255,69.0
1256,57.0
1257,54.0
1258,53.0
1259,56.0
1260,42.0
1261,28.0
1262,26.0
1263,33.0
1264,38.0
1265,46.0
1266,49.0
1267,45.0
1268,43.0
1269,41.0
1270,36.0
1271,36.0
1272,36.0
1273,34.0
1274,29.0
1275,25.0
1276,25.0
1277,24.0
1278,25.0
1279,25.0
1280,27.0
1281,31.0
1282,34.0
1283,41.0
1284,39.0
1285,38.0
1286,36.0
1287,39.0
1288,32.0
1289,30.0
1290,22.0
1291,24.0
1292,25.0
1293,25.0
1294,20.0
1295,18.0
1296,16.0
1297,17.0
1298,16.0
1299,18.0
1300,15.0
1301,15.0
1302,15.0
1303,14.0
1304,14.0
1305,18.0
1306,18.0
1307,27.0
1308,32.0
1309,37.0
1310,33.0
1311,38.0
1312,35.0
1313,37.0
1314,39.0
1315,49.0
1316,41.0
1317,41.0
1318,41.0
1319,43.0
1320,40.0
1321,35.0
1322,35.0
1323,34.0
1324,34.0
1325,35.0
1326,34.0
1327,35.0
1328,40.0
1329,45.0
1330,49.0
1331,69.0
1332,74.0
1333,76.0
1334,70.0
1335,69.0
1336,63.0
1337,64.0
1338,53.0
1339,51.0
1340,49.0
1341,41.0
1342,34.0
1343,28.0
1344,24.0
1345,22.0
1346,15.0
1347,16.0
1348,15.0
1349,16.0
1350,14.0
1351,19.0
1352,19.0
1353,22.0
1354,28.0
1355,31.0
1356,32.0
1357,32.0
1358,26.0
1359,32.0
1360,29.0
1361,25.0
1362,27.0
1363,33.0
1364,36.0
1365,36.0
1366,30.0
1367,20.0
1368,22.0
1369,25.0
1370,25.0
1371,28.0
1372,27.0
1373,30.0
1374,28.0
1375,28.0
1376,31.0
1377,31.0
1378,37.0
1379,40.0
1380,38.0
1381,34.0
1382,31.0
1383,35.0
1384,34.0
1385,40.0
1386,46.0
1387,48.0
1388,50.0
1389,47.0
1390,49.0
1391,50.0
1392,46.0
1393,47.0
1394,44.0
1395,47.0
1396,45.0
1397,47.0
1398,44.0
1399,43.0
1400,44.0
1401,43.0
1402,40.0
1403,40.0
1404,41.0
1405,40.0
1406,40.0
1407,40.0
1408,36.0
1409,45.0
1410,43.0
1411,55.0
1412,67.0
1413,67.0
1414,53.0
1415,56.0
1416,52.0
1417,56.0
1418,53.0
1419,55.0
1420,52.0
1421,51.0
1422,50.0
1423,47.0
1424,51.0
1425,55.0
1426,53.0
1427,62.0
1428,65.0
1429,57.0
1430,44.0
1431,31.0
1432,25.0
1433,33.0
1434,59.0
1435,69.0
1436,72.0
1437,77.0
1438,77.0
1439,70.0
1440,65.0
1441,62.0
1442,53.0
1443,45.0
1444,42.0
1445,39.0
1446,33.0
1447,30.0
1448,23.0
1449,20.0
1450,19.0
1451,10.0
1452,4.0
1453,16.0
1454,20.0
1455,11.0
1456,9.0
1457,18.0
1458,21.0
1459,15.0
1460,15.0
1461,16.0
1462,14.0
1463,13.0
1464,16.0
1465,18.0
1466,18.0
1467,19.0
1468,22.0
1469,22.0
1470,21.0
1471,18.0
1472,12.0
1473,9.0
1474,14.0
1475,16.0
1476,14.0
1477,15.0
1478,17.0
1479,14.0
1480,16.0
1481,14.0
1482,11.0
1483,16.0
1484,21.0
1485,20.0
1486,16.0
1487,14.0
1488,16.0
1489,19.0
1490,18.0
1491,17.0
1492,17.0
1493,16.0
1494,16.0
1495,17.0
1496,21.0
1497,21.0
1498,30.0
1499,29.0
1500,29.0
1501,29.0
1502,30.0
1503,27.0
1504,24.0
1505,20.0
1506,20.0
1507,24.0
1508,25.0
1509,22.0
1510,18.0
1511,20.0
1512,22.0
1513,24.0
1514,23.0
1515,26.0
1516,28.0
1517,33.0
1518,30.0
1519,29.0
1520,27.0
1521,32.0
1522,32.0
1523,24.0
1524,16.0
1525,15.0
1526,13.0
1527,14.0
1528,38.92536106296938
1529,38.92536106296938
1530,38.92536106296938
1531,19.0
1532,16.0
1533,16.0
1534,16.0
1535,13.0
1536,14.0
1537,19.0
1538,14.0
1539,17.0
1540,13.0
1541,16.0
1542,13.0
1543,16.0
1544,16.0
1545,24.0
1546,32.0
1547,33.0
1548,33.0
1549,28.0
1550,24.0
1551,21.0
1552,17.0
1553,17.0
1554,18.0
1555,19.0
1556,19.0
1557,25.0
1558,26.0
1559,26.0
1560,24.0
1561,26.0
1562,25.0
1563,26.0
1564,28.0
1565,30.0
1566,30.0
1567,31.0
1568,30.0
1569,29.0
1570,27.0
1571,28.0
1572,27.0
1573,32.0
1574,31.0
1575,30.0
1576,28.0
1577,28.0
1578,32.0
1579,36.0
1580,36.0
1581,43.0
1582,43.0
1583,45.0
1584,40.0
1585,41.0
