               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.01676,            0.017473,            0.014442,             0.59936,             0.97045,             0.71211,             0.49857,            0.023194,            0.010726,            0.016007,            0.070114,           0.0033207,           0.0033207
                   1,            0.021252,            0.017703,            0.014296,             0.62932,             0.92843,             0.71765,             0.48784,             0.02888,           0.0099979,            0.014694,            0.039455,           0.0059952,           0.0059952
                   2,            0.024561,             0.01825,            0.014804,             0.61066,             0.90718,             0.72685,             0.38803,             0.03913,            0.010411,            0.016379,           0.0081366,           0.0080098,           0.0080098
                   3,            0.023578,            0.018728,            0.014775,             0.64812,             0.94337,              0.7399,             0.50269,            0.027743,             0.01178,            0.013712,             0.00703,             0.00703,             0.00703
                   4,             0.02308,            0.018486,             0.01366,             0.69709,             0.93649,              0.7507,              0.5109,            0.024472,            0.014276,            0.013346,             0.00703,             0.00703,             0.00703
                   5,            0.020946,            0.018449,            0.013409,             0.63792,             0.88734,             0.74373,             0.47989,            0.026689,            0.010971,             0.01471,             0.00604,             0.00604,             0.00604
                   6,            0.018978,            0.017666,            0.012974,             0.67171,              0.9194,             0.75073,             0.52418,            0.022748,            0.011704,            0.011749,             0.00505,             0.00505,             0.00505
                   7,            0.017157,            0.016893,             0.01264,             0.70066,             0.95461,             0.76757,             0.50813,             0.02612,            0.010558,            0.011746,             0.00406,             0.00406,             0.00406
                   8,            0.015772,             0.01662,            0.011625,              0.6927,             0.97299,             0.76431,             0.54644,             0.02081,           0.0092681,            0.010908,             0.00307,             0.00307,             0.00307
                   9,            0.014357,            0.016186,            0.011152,              0.6764,             0.93247,             0.76331,             0.60272,            0.016658,           0.0091584,            0.012018,             0.00208,             0.00208,             0.00208
                   0,            0.014377,            0.016113,            0.011064,             0.72047,             0.97879,             0.76929,             0.62519,            0.015247,           0.0090793,            0.011208,            0.070114,           0.0033207,           0.0033207
                   1,            0.018041,            0.015995,            0.010995,             0.72474,             0.96889,             0.75904,             0.52705,            0.022656,           0.0099372,            0.011998,            0.039455,           0.0059952,           0.0059952
                   2,            0.020503,            0.016625,            0.011779,             0.70551,               0.973,             0.76147,              0.4527,            0.035286,           0.0099262,             0.01218,           0.0081366,           0.0080098,           0.0080098
                   3,            0.020869,            0.017155,            0.012028,             0.66242,             0.93303,             0.73764,             0.49796,            0.022259,            0.013443,            0.012783,             0.00703,             0.00703,             0.00703
                   4,            0.020117,            0.017151,            0.011959,             0.71129,             0.96098,             0.76133,             0.55576,            0.022206,            0.010835,            0.012236,             0.00703,             0.00703,             0.00703
                   5,            0.018608,             0.01701,             0.01186,             0.70289,             0.96575,             0.76465,             0.58876,            0.019238,            0.010264,            0.012449,             0.00604,             0.00604,             0.00604
                   6,            0.017001,            0.016528,            0.011576,             0.72296,              0.9644,             0.76855,             0.54602,            0.023282,           0.0093683,             0.01144,             0.00505,             0.00505,             0.00505
                   7,            0.015562,             0.01576,            0.011321,             0.71276,             0.97283,             0.77498,             0.57019,            0.020158,            0.010269,            0.011587,             0.00406,             0.00406,             0.00406
                   8,             0.01434,            0.015616,            0.010748,             0.71564,             0.95804,             0.76933,             0.56052,            0.019573,            0.010924,            0.010777,             0.00307,             0.00307,             0.00307
                   9,            0.013215,            0.015359,            0.010243,             0.73068,              0.9788,             0.77352,             0.62479,            0.015797,           0.0089658,            0.010746,             0.00208,             0.00208,             0.00208
                   0,            0.067217,            0.033664,            0.060238,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.070238,           0.0030355,           0.0030355
                   1,            0.045828,            0.021366,            0.049437,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.041345,           0.0054804,           0.0054804
                   2,             0.04528,            0.016284,            0.029909,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.01185,            0.007322,            0.007322
                   3,            0.038425,            0.013994,            0.019779,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0067277,           0.0067277,           0.0067277
                   4,            0.032981,             0.01282,            0.017575,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0067277,           0.0067277,           0.0067277
                   5,            0.026862,             0.01153,             0.01612,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0057803,           0.0057803,           0.0057803
                   6,            0.023231,            0.010771,            0.015286,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0048329,           0.0048329,           0.0048329
                   7,            0.019454,           0.0098926,            0.014476,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0038854,           0.0038854,           0.0038854
                   8,            0.016149,            0.009261,            0.013675,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.002938,            0.002938,            0.002938
